protein.Accession,protein.Description,protein.seqCover(%)_KOGSK_Rep1,protein.fmolOnColumn_KOGSK_Rep1,protein.ngramOnColumn_KOGSK_Rep1,protein.seqCover(%)_KOGSK_Rep2,protein.fmolOnColumn_KOGSK_Rep2,protein.ngramOnColumn_KOGSK_Rep2,protein.seqCover(%)_KOGSK_Rep3,protein.fmolOnColumn_KOGSK_Rep3,protein.ngramOnColumn_KOGSK_Rep3,protein.seqCover(%)_WT_Rep1,protein.fmolOnColumn_WT_Rep1,protein.ngramOnColumn_WT_Rep1,protein.seqCover(%)_WT_Rep2,protein.fmolOnColumn_WT_Rep2,protein.ngramOnColumn_WT_Rep2,protein.seqCover(%)_WT_Rep3,protein.fmolOnColumn_WT_Rep3,protein.ngramOnColumn_WT_Rep3
SARNP_HUMAN,SAP domain-containing ribonucleoprotein OS=Homo sapiens GN=SARNP PE=1 SV=3,73.33,156.5058,3.7135,52.86,23.3832,0.5548,45.71,89.7116,2.1287,44.29,80.3619,1.9068,43.81,167.846,3.9826,49.52,223.2508,5.2973
VDAC3_HUMAN,Voltage-dependent anion-selective channel protein 3 OS=Homo sapiens GN=VDAC3 PE=1 SV=1,39.22,504.7681,15.6482,47.35,42.96,1.3318,51.24,56.8626,1.7628,31.8,105.1243,3.2589,41.34,162.1476,5.0267,37.81,303.405,9.4058
EIF3F_HUMAN,Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens GN=EIF3F PE=1 SV=1,36.13,561.923,21.1721,24.93,199.0162,7.4985,14.85,82.4977,3.1083,30.81,172.4091,6.496,43.42,219.0542,8.2535,70.31,285.4418,10.7549
H2B1J_HUMAN,Histone H2B type 1-J OS=Homo sapiens GN=HIST1H2BJ PE=1 SV=3,66.67,NaN,NaN,54.76,NaN,NaN,57.14,NaN,NaN,57.14,NaN,NaN,62.7,695.2447,9.6668,57.94,775.8476,10.7875
XPO2_HUMAN,Exportin-2 OS=Homo sapiens GN=CSE1L PE=1 SV=3,40.78,406.2356,45.1796,40.47,735.7545,81.8271,24.61,170.1701,18.9255,21.83,403.1769,44.8394,32.44,398.0981,44.2745,28.73,443.2942,49.301
H2B1B_HUMAN,Histone H2B type 1-B OS=Homo sapiens GN=HIST1H2BB PE=1 SV=2,66.67,795.2399,11.0938,54.76,245.6015,3.4262,56.35,55.4677,0.7738,62.7,NaN,NaN,58.73,NaN,NaN,57.94,NaN,NaN
PRPS2_HUMAN,Ribose-phosphate pyrophosphokinase 2 OS=Homo sapiens GN=PRPS2 PE=1 SV=2,48.74,89.4913,3.1473,29.56,128.8453,4.5313,35.53,40.679,1.4306,49.69,59.9534,2.1085,63.52,41.7294,1.4676,65.72,84.7303,2.9798
RL15_HUMAN,60S ribosomal protein L15 OS=Homo sapiens GN=RPL15 PE=1 SV=2,51.96,1078.594,26.1669,42.65,13.6957,0.3323,52.45,270.4563,6.5613,41.67,276.6241,6.7109,59.31,361.7625,8.7764,50.98,529.2562,12.8398
PAIRB_HUMAN,Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens GN=SERBP1 PE=1 SV=2,36.03,389.329,17.5285,39.95,18.0501,0.8127,38.97,129.2646,5.8198,34.8,54.9223,2.4727,30.39,41.9967,1.8908,45.34,469.6245,21.1436
DDX3X_HUMAN,ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3,52.11,333.6953,24.5742,35.05,40.2171,2.9617,43.05,87.1245,6.4161,43.66,81.6278,6.0113,37.76,117.6176,8.6617,43.35,283.2179,20.8569
TCTP_HUMAN,Translationally-controlled tumor protein OS=Homo sapiens GN=TPT1 PE=1 SV=1,45.35,576.0079,11.3528,30.23,74.6119,1.4706,53.49,377.4317,7.439,39.53,240.4219,4.7386,43.6,456.8752,9.0048,22.67,548.4327,10.8093
EF2_HUMAN,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,45.8,1518.494,146.2428,36.36,1451.729,139.8129,41.61,571.0197,54.9937,40.79,520.6708,50.1447,49.65,906.0035,87.2552,36.25,1223.635,117.8456
PGM1_HUMAN,Phosphoglucomutase-1 OS=Homo sapiens GN=PGM1 PE=1 SV=3,51.6,115.4639,7.1281,34.7,59.7955,3.6914,34.7,27.074,1.6714,27.58,29.2575,1.8062,31.67,67.7835,4.1846,34.88,75.9944,4.6915
CK068_HUMAN,UPF0696 protein C11orf68 OS=Homo sapiens GN=C11orf68 PE=1 SV=2,29.08,59.4588,1.6367,31.47,19.1813,0.528,33.07,49.0591,1.3504,15.14,9.8768,0.2719,18.33,10.9247,0.3007,34.26,18.122,0.4988
HMOX2_HUMAN,Heme oxygenase 2 OS=Homo sapiens GN=HMOX2 PE=1 SV=2,59.18,219.4866,7.9463,30.38,100.0593,3.6226,42.09,40.8517,1.479,33.54,42.2386,1.5292,39.24,62.4095,2.2595,43.99,88.4051,3.2006
WDR1_HUMAN,WD repeat-containing protein 1 OS=Homo sapiens GN=WDR1 PE=1 SV=4,48.68,646.7629,43.2542,53.3,303.3203,20.2854,35.64,290.2302,19.41,24.92,144.4525,9.6607,27.89,220.0811,14.7186,36.8,507.5392,33.9432
RL13_HUMAN,60S ribosomal protein L13 OS=Homo sapiens GN=RPL13 PE=1 SV=4,49.76,601.4927,14.6274,45.02,44.8458,1.0906,52.13,260.5587,6.3364,47.39,124.5865,3.0298,39.81,349.381,8.4964,52.13,442.9471,10.7718
XRN2_HUMAN,5'-3' exoribonuclease 2 OS=Homo sapiens GN=XRN2 PE=1 SV=1,35.68,148.7821,16.2909,22.84,56.8868,6.2288,28.53,48.4547,5.3056,19.89,39.4422,4.3187,32.11,64.3531,7.0463,32.63,82.3074,9.0123
TIAR_HUMAN,Nucleolysin TIAR OS=Homo sapiens GN=TIAL1 PE=1 SV=1,42.4,68.4021,2.8683,26.67,6.9029,0.2895,39.2,44.0516,1.8472,15.47,32.6921,1.3709,38.13,32.4852,1.3622,41.07,87.8209,3.6826
KINH_HUMAN,Kinesin-1 heavy chain OS=Homo sapiens GN=KIF5B PE=1 SV=1,56.28,341.5902,37.7206,29.28,107.0249,11.8184,50.88,97.8174,10.8016,43.93,54.1056,5.9747,48.6,136.278,15.0487,58.77,163.6521,18.0715
VDAC2_HUMAN,Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens GN=VDAC2 PE=1 SV=2,49.32,790.5839,25.3618,40.14,55.1512,1.7692,30.95,213.1704,6.8385,23.13,198.2254,6.359,32.31,275.8048,8.8478,39.12,684.0997,21.9458
HMGN5_HUMAN,High mobility group nucleosome-binding domain-containing protein 5 OS=Homo sapiens GN=HMGN5 PE=1 SV=1,35.11,13.8719,0.4373,33.69,27.6192,0.8707,43.97,11.1764,0.3523,42.2,8.3056,0.2618,43.97,13.3931,0.4222,49.29,32.3438,1.0196
MCM4_HUMAN,DNA replication licensing factor MCM4 OS=Homo sapiens GN=MCM4 PE=1 SV=5,46.7,176.1088,17.1052,28.97,228.3244,22.1768,32.33,73.3155,7.121,33.95,102.3204,9.9382,32.33,81.1204,7.8791,39.28,159.0484,15.4481
HNRL2_HUMAN,Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Homo sapiens GN=HNRNPUL2 PE=1 SV=1,24.77,80.468,6.8941,20.75,8.3026,0.7113,25.03,247.4697,21.202,34.81,40.0131,3.4281,27.31,55.6947,4.7716,44.44,160.8318,13.7793
IMP3_HUMAN,U3 small nucleolar ribonucleoprotein protein IMP3 OS=Homo sapiens GN=IMP3 PE=1 SV=1,61.96,25.4352,0.5587,40.76,4.2612,0.0936,46.74,51.5532,1.1323,25,11.3337,0.2489,56.52,21.9868,0.4829,57.07,38.4053,0.8435
DDX6_HUMAN,Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens GN=DDX6 PE=1 SV=2,49.07,253.8277,13.9138,56.52,53.7142,2.9444,28.16,56.8537,3.1165,43.89,90.7077,4.9722,37.47,113.1954,6.2049,60.25,257.3103,14.1047
ROA3_HUMAN,Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens GN=HNRNPA3 PE=1 SV=2,54.76,876.8435,34.9186,35.19,367.6276,14.6401,69.05,232.8537,9.273,34.92,135.2406,5.3857,54.5,270.0533,10.7544,57.14,398.0033,15.8497
RL18_HUMAN,60S ribosomal protein L18 OS=Homo sapiens GN=RPL18 PE=1 SV=2,47.87,552.8621,12.024,53.72,38.7944,0.8437,50,276.2761,6.0086,39.89,187.1235,4.0697,43.62,192.5892,4.1885,28.19,326.451,7.0998
PEBP1_HUMAN,Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens GN=PEBP1 PE=1 SV=3,65.24,873.8603,18.5004,35.29,174.1861,3.6877,65.24,342.5239,7.2515,57.22,266.9268,5.6511,65.24,396.5219,8.3947,65.24,483.5867,10.2379
TCPA_HUMAN,T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=1 SV=1,57.01,1161.371,70.6775,44.06,425.2564,25.8798,54.14,319.6626,19.4537,51.8,256.75,15.625,54.32,435.1872,26.4842,63.13,547.0709,33.2931
H2AZ_HUMAN,Histone H2A.Z OS=Homo sapiens GN=H2AFZ PE=1 SV=2,34.38,NaN,NaN,67.19,NaN,NaN,30.47,NaN,NaN,32.03,NaN,NaN,37.5,NaN,NaN,29.69,NaN,NaN
H2A1A_HUMAN,Histone H2A type 1-A OS=Homo sapiens GN=HIST1H2AA PE=1 SV=3,39.69,0.8437,0.012,40.46,NaN,NaN,22.14,NaN,NaN,22.14,NaN,NaN,25.19,NaN,NaN,16.79,NaN,NaN
SRSF7_HUMAN,Serine/arginine-rich splicing factor 7 OS=Homo sapiens GN=SRSF7 PE=1 SV=1,50.42,515.6393,14.2289,21.43,55.3705,1.5279,38.66,155.9618,4.3037,31.93,118.2173,3.2622,32.35,94.634,2.6114,38.66,352.9273,9.7389
PABP1_HUMAN,Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=1 SV=2,66.51,662.4815,46.9694,47.48,58.694,4.1614,67.3,140.5762,9.9667,65.09,223.67,15.858,72.96,385.0707,27.3012,62.11,486.0041,34.4573
SF3B1_HUMAN,Splicing factor 3B subunit 1 OS=Homo sapiens GN=SF3B1 PE=1 SV=3,46.24,761.8648,111.6681,20.63,185.1712,27.1409,47.93,166.9315,24.4675,44.4,89.3653,13.0984,37.5,179.5571,26.318,39.57,175.7865,25.7654
WDR3_HUMAN,WD repeat-containing protein 3 OS=Homo sapiens GN=WDR3 PE=1 SV=1,29.9,113.0362,12.1155,26.19,59.334,6.3596,26.83,42.8254,4.5901,10.6,34.2424,3.6702,15.69,35.684,3.8247,22.16,54.6366,5.8561
RL40_HUMAN,Ubiquitin-60S ribosomal protein L40 OS=Homo sapiens GN=UBA52 PE=1 SV=2,58.59,578.908,8.6914,57.03,333.7011,5.01,51.56,NaN,NaN,45.31,277.0111,4.1589,50.78,236.0422,3.5438,51.56,196.187,2.9454
UB2V2_HUMAN,Ubiquitin-conjugating enzyme E2 variant 2 OS=Homo sapiens GN=UBE2V2 PE=1 SV=4,57.93,296.9746,4.8763,60.69,14.9141,0.2449,61.38,112.3253,1.8444,28.97,24.2475,0.3981,70.34,173.5432,2.8495,57.93,200.3944,3.2904
LDHA_HUMAN,L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2,54.22,2269.175,83.9003,62.35,152.1498,5.6256,64.76,666.7803,24.6535,58.73,534.5665,19.765,52.41,1126.279,41.6429,62.35,1520.975,56.2364
NP1L1_HUMAN,Nucleosome assembly protein 1-like 1 OS=Homo sapiens GN=NAP1L1 PE=1 SV=1,30.95,844.8616,38.5758,42.71,20.355,0.9294,49.87,327.7283,14.9639,36.32,362.4486,16.5492,32.99,216.745,9.8964,24.3,264.553,12.0793
APMAP_HUMAN,Adipocyte plasma membrane-associated protein OS=Homo sapiens GN=APMAP PE=1 SV=2,41.35,133.009,6.2051,43.51,116.6113,5.4401,38.46,74.3369,3.4679,20.91,80.2128,3.742,28.61,100.2251,4.6757,38.22,90.2468,4.2102
PP4R2_HUMAN,Serine/threonine-protein phosphatase 4 regulatory subunit 2 OS=Homo sapiens GN=PPP4R2 PE=1 SV=3,47.72,69.0071,3.2638,27.82,1.3002,0.0615,37.41,13.5618,0.6414,41.73,11.1596,0.5278,39.57,47.3336,2.2388,45.8,33.7344,1.5955
RM24_HUMAN,39S ribosomal protein L24_ mitochondrial OS=Homo sapiens GN=MRPL24 PE=1 SV=1,33.33,46.585,1.166,41.2,44.9883,1.126,19.91,7.6807,0.1922,25.46,57.5933,1.4415,38.43,13.2661,0.332,38.89,32.1165,0.8038
CCD25_HUMAN,Coiled-coil domain-containing protein 25 OS=Homo sapiens GN=CCDC25 PE=1 SV=2,40.87,59.213,1.4596,56.25,16.3171,0.4022,55.77,31.5767,0.7784,50.48,10.6455,0.2624,51.92,23.2355,0.5728,35.1,59.484,1.4663
SYSM_HUMAN,Serine--tRNA ligase_ mitochondrial OS=Homo sapiens GN=SARS2 PE=1 SV=1,33.59,63.0698,3.7046,30.89,21.0264,1.2351,21.24,16.0029,0.94,30.12,11.766,0.6911,21.81,56.3699,3.3111,30.69,50.6033,2.9724
UK114_HUMAN,Ribonuclease UK114 OS=Homo sapiens GN=HRSP12 PE=1 SV=1,45.26,133.6724,1.945,43.07,10.1607,0.1478,49.64,54.2498,0.7894,20.44,20.454,0.2976,18.98,36.7372,0.5346,28.47,97.5799,1.4199
GRDN_HUMAN,Girdin OS=Homo sapiens GN=CCDC88A PE=1 SV=2,25.01,368.4451,79.8517,22.02,46.4924,10.0761,28.27,62.8963,13.6313,18.07,124.0349,26.8816,23.04,130.3076,28.2411,29.77,284.6361,61.6881
HAT1_HUMAN,Histone acetyltransferase type B catalytic subunit OS=Homo sapiens GN=HAT1 PE=1 SV=1,29.12,127.4424,6.3609,30.07,91.8827,4.586,26.25,85.2635,4.2557,15.75,51.4702,2.569,8.59,52.8325,2.637,21.96,134.5012,6.7132
IMB1_HUMAN,Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2,39.27,940.3875,92.6112,22.72,47.6619,4.6938,37.33,315.1393,31.0355,16.78,169.9465,16.7367,31.16,204.5096,20.1405,45.21,422.8354,41.6417
AT1A1_HUMAN,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1,40.66,188.4225,21.5193,29.52,360.6084,41.1843,39.88,202.4738,23.1241,22.09,138.0422,15.7655,49.17,146.8405,16.7704,31.28,155.9262,17.808
CD11A_HUMAN,Cyclin-dependent kinase 11A OS=Homo sapiens GN=CDK11A PE=1 SV=4,34.36,25.3264,2.3196,22.86,11.6832,1.0701,35.12,0.3843,0.0352,27.84,0.7196,0.0659,30.52,10.7163,0.9815,37.42,1.504,0.1377
IF4A1_HUMAN,Eukaryotic initiation factor 4A-I OS=Homo sapiens GN=EIF4A1 PE=1 SV=1,56.9,657.0698,30.4763,55.42,629.3792,29.192,54.19,203.0852,9.4195,56.16,405.1524,18.7918,60.59,428.5418,19.8767,67.98,790.5557,36.6677
PITH1_HUMAN,PITH domain-containing protein 1 OS=Homo sapiens GN=PITHD1 PE=1 SV=1,25.12,42.0079,1.0252,37.91,31.9966,0.7809,44.08,16.3379,0.3987,27.49,9.9582,0.243,26.07,12.6123,0.3078,11.37,215.6204,5.2624
RFA1_HUMAN,Replication protein A 70 kDa DNA-binding subunit OS=Homo sapiens GN=RPA1 PE=1 SV=2,39.77,177.1983,12.1852,21.43,24.6642,1.696,31.66,90.5221,6.2248,36.69,115.3829,7.9344,43.99,167.7578,11.536,41.72,142.5248,9.8008
OST48_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens GN=DDOST PE=1 SV=4,49.78,413.1869,21.0609,30.7,152.1316,7.7544,27.63,117.3931,5.9838,26.54,101.4897,5.1731,26.1,218.2247,11.1233,31.8,145.9283,7.4383
TOPK_HUMAN,Lymphokine-activated killer T-cell-originated protein kinase OS=Homo sapiens GN=PBK PE=1 SV=3,28.88,148.4578,5.4079,13.98,9.9662,0.363,22.98,28.715,1.046,36.65,38.527,1.4034,36.34,161.2824,5.8751,34.78,111.7499,4.0707
RS4Y2_HUMAN,40S ribosomal protein S4_ Y isoform 2 OS=Homo sapiens GN=RPS4Y2 PE=2 SV=3,38.02,96.1855,2.8507,49.05,29.7637,0.8821,27.38,4.0872,0.1211,26.62,NaN,NaN,32.32,3.4159,0.1012,25.48,11.8804,0.3521
PTBP3_HUMAN,Polypyrimidine tract-binding protein 3 OS=Homo sapiens GN=PTBP3 PE=1 SV=2,32.43,138.725,8.32,39.31,3.9674,0.2379,34.06,26.4466,1.5861,13.59,1.584,0.095,25.54,22.6974,1.3613,16.12,32.6188,1.9563
TRI25_HUMAN,E3 ubiquitin/ISG15 ligase TRIM25 OS=Homo sapiens GN=TRIM25 PE=1 SV=2,24.76,108.7394,7.8974,18.25,92.1055,6.6894,18.41,53.8623,3.9119,27.62,122.4599,8.8939,26.83,56.5393,4.1063,22.38,79.7787,5.7941
H90B3_HUMAN,Putative heat shock protein H90-beta-3 OS=Homo sapiens GN=HSP90AB3P PE=5 SV=1,41.37,1.3956,0.0958,29.82,5.9621,0.4094,52.6,18.013,1.2369,55.95,26.6614,1.8308,44.05,12.8324,0.8812,37.69,68.4595,4.7009
ANM1_HUMAN,Protein arginine N-methyltransferase 1 OS=Homo sapiens GN=PRMT1 PE=1 SV=2,44.04,416.5157,17.5294,54.02,451.3739,18.9965,55.12,127.7716,5.3774,58.73,192.5297,8.1028,49.03,132.088,5.559,42.38,314.6589,13.2427
CPNS1_HUMAN,Calpain small subunit 1 OS=Homo sapiens GN=CAPNS1 PE=1 SV=1,51.49,338.6369,9.6467,9.33,19.7113,0.5615,66.04,153.3431,4.3683,28.73,128.041,3.6475,34.33,261.7909,7.4576,45.9,293.1399,8.3506
SRP54_HUMAN,Signal recognition particle 54 kDa protein OS=Homo sapiens GN=SRP54 PE=1 SV=1,38.69,164.4504,9.2076,17.66,6.9875,0.3912,37.1,56.6921,3.1742,25.6,27.9177,1.5631,50.2,45.5039,2.5478,24.21,33.9515,1.9009
RS16_HUMAN,40S ribosomal protein S16 OS=Homo sapiens GN=RPS16 PE=1 SV=2,61.64,790.6302,13.0924,57.53,83.4856,1.3825,71.92,267.7159,4.4332,54.11,256.1598,4.2419,65.07,379.5071,6.2844,67.12,536.7278,8.8879
NAA16_HUMAN,N-alpha-acetyltransferase 16_ NatA auxiliary subunit OS=Homo sapiens GN=NAA16 PE=1 SV=2,24.07,448.4655,45.9626,18.17,10.0772,1.0328,16.78,299.0542,30.6497,23.15,98.2331,10.0678,16.9,116.0254,11.8913,25.12,333.4531,34.1752
MCM6_HUMAN,DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1,35.08,243.8021,22.883,44.09,218.4564,20.5041,35.69,97.9748,9.1958,26.07,287.4056,26.9756,32.28,175.0239,16.4275,32.4,165.3091,15.5157
ACTN1_HUMAN,Alpha-actinin-1 OS=Homo sapiens GN=ACTN1 PE=1 SV=2,62.22,385.6429,39.9634,46.86,314.4188,32.5826,61.77,115.9436,12.015,40.47,53.419,5.5357,40.58,107.8039,11.1715,54.48,213.2512,22.0988
RTCB_HUMAN,tRNA-splicing ligase RtcB homolog OS=Homo sapiens GN=RTCB PE=1 SV=1,40.99,712.1169,39.6818,33.66,28.3279,1.5785,42.38,216.4899,12.0636,31.88,54.2185,3.0213,38.61,80.9564,4.5112,41.39,139.4857,7.7727
SPTN1_HUMAN,Spectrin alpha chain_ non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 PE=1 SV=3,45.75,608.8615,173.7314,28.03,237.0476,67.6387,44.09,62.6076,17.8643,28.07,62.738,17.9015,39.08,183.3989,52.3307,37.94,89.4444,25.5219
EF1B_HUMAN,Elongation factor 1-beta OS=Homo sapiens GN=EEF1B2 PE=1 SV=3,39.11,622.799,15.5294,15.56,30.9718,0.7723,52,281.4892,7.0189,27.11,130.3693,3.2507,42.22,142.3108,3.5485,56.44,205.7803,5.1311
DCAF7_HUMAN,DDB1- and CUL4-associated factor 7 OS=Homo sapiens GN=DCAF7 PE=1 SV=1,24.56,315.0953,12.4631,17.84,53.7168,2.1247,37.72,86.7143,3.4299,27.19,32.5925,1.2891,19.88,61.8472,2.4463,29.53,64.6067,2.5554
GHITM_HUMAN,Growth hormone-inducible transmembrane protein OS=Homo sapiens GN=GHITM PE=1 SV=2,32.75,83.4941,3.1207,21.45,8.1402,0.3043,28.41,37.9417,1.4181,19.42,20.8553,0.7795,18.84,24.3378,0.9097,20.29,50.2548,1.8783
DNPEP_HUMAN,Aspartyl aminopeptidase OS=Homo sapiens GN=DNPEP PE=1 SV=1,12,61.7449,3.2759,35.37,156.8393,8.3212,10.53,25.3782,1.3465,14.95,19.6285,1.0414,18.11,29.489,1.5646,19.79,40.0602,2.1254
ERF1_HUMAN,Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens GN=ETF1 PE=1 SV=3,35.01,212.2474,10.4551,17.16,26.5851,1.3096,47.6,71.6254,3.5282,17.85,78.9931,3.8911,44.62,121.8301,6.0012,32.95,212.305,10.4579
NOP56_HUMAN,Nucleolar protein 56 OS=Homo sapiens GN=NOP56 PE=1 SV=4,47.31,366.355,24.344,30.64,56.6916,3.7671,37.71,96.448,6.4089,33.33,108.8728,7.2345,35.69,234.8333,15.6045,41.75,180.8072,12.0145
ANXA7_HUMAN,Annexin A7 OS=Homo sapiens GN=ANXA7 PE=1 SV=3,18.65,127.9359,6.7837,12.7,13.1661,0.6981,32.79,63.0977,3.3457,22.95,44.7462,2.3726,33.81,47.2424,2.505,21.72,101.3788,5.3756
1433F_HUMAN,14-3-3 protein eta OS=Homo sapiens GN=YWHAH PE=1 SV=4,54.47,427.2948,12.1308,30.08,96.1781,2.7305,57.72,142.6931,4.051,46.75,68.6085,1.9478,38.21,130.7684,3.7125,56.5,229.5123,6.5158
T2FB_HUMAN,General transcription factor IIF subunit 2 OS=Homo sapiens GN=GTF2F2 PE=1 SV=2,54.62,88.9359,2.5291,40.56,100.8758,2.8686,26.91,33.23,0.945,28.92,43.4408,1.2353,18.07,43.3371,1.2324,28.92,110.868,3.1528
RL17_HUMAN,60S ribosomal protein L17 OS=Homo sapiens GN=RPL17 PE=1 SV=3,47.28,976.935,21.1264,28.26,403.6955,8.73,36.96,306.6814,6.632,50,287.8873,6.2256,61.96,274.281,5.9314,60.87,377.2823,8.1588
UBC12_HUMAN,NEDD8-conjugating enzyme Ubc12 OS=Homo sapiens GN=UBE2M PE=1 SV=1,25.68,282.0924,5.9762,19.67,73.7703,1.5628,21.31,60.2081,1.2755,26.23,45.4422,0.9627,32.79,108.2261,2.2928,35.52,85.0847,1.8025
PSB1_HUMAN,Proteasome subunit beta type-1 OS=Homo sapiens GN=PSMB1 PE=1 SV=2,65.98,266.0371,7.1079,48.96,77.5736,2.0726,58.92,106.5098,2.8457,36.93,99.4653,2.6575,31.95,91.1101,2.4342,47.72,264.9492,7.0788
