protein.key,protein.Entry,protein.Accession,protein.Description,protein.dataBaseType,protein.score,protein.falsePositiveRate,protein.avgMass,protein.MatchedProducts,protein.matchedPeptides,protein.digestPeps,protein.seqCover(%),protein.MatchedPeptideIntenSum,protein.top3MatchedPeptideIntenSum,protein.MatchedProductIntenSum,protein.fmolOnColumn,protein.ngramOnColumn,protein.AutoCurate,protein.Key_ForHomologs
7499,sp|P62805|H4_HUMAN,Histone,H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2,Regular,22968.1300,0.00,11367.3627,286,15,11,71.84,3258274,1439472,1714078,765.4242,8.7009,Green,
5411,sp|P38646|GRP75_HUMAN,Stress-70,protein_ mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2,Regular,21811.2500,0.00,73965.7735,814,61,69,66.42,4454541,711723,1820302,378.4513,27.9924,Green,7942 8192
8192,sp|P11142|HSP7C_HUMAN,Heat,shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1,Regular,20868.6000,0.00,71126.3096,708,51,50,56.66,4051763,791173,1752641,420.6980,29.9227,Green,5411 7641 7738 7942 7959 7997 8057 8282
1153,sp|P06576|ATPB_HUMAN,ATP,synthase subunit beta_ mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3,Regular,20754.8500,0.00,56560.0088,527,27,38,51.80,4520009,1048831,2363946,557.7050,31.5438,Green,
7783,sp|P62807|H2B1C_HUMAN,Histone,H2B type 1-C/E/F/G/I OS=Homo sapiens GN=HIST1H2BC PE=1 SV=4,Regular,20727.1500,0.00,13906.1627,245,15,11,61.11,3141845,0,1163910,,,Green,5332 5362 5363 5384 5385 5386 5430 5431 5444 5445 5466 7495 7496 7741 7742 7784
7741,sp|Q99877|H2B1N_HUMAN,Histone,H2B type 1-N OS=Homo sapiens GN=HIST1H2BN PE=1 SV=3,Regular,20727.1500,0.00,13922.1621,245,15,11,61.11,3141845,0,1163910,,,Green,5332 5362 5363 5384 5385 5386 5430 5431 5444 5445 5466 7495 7496 7742 7783 7784
7495,sp|Q93079|H2B1H_HUMAN,Histone,H2B type 1-H OS=Homo sapiens GN=HIST1H2BH PE=1 SV=3,Regular,20727.1500,0.00,13892.1358,245,15,11,61.11,3141845,0,1163910,,,Green,5332 5362 5363 5384 5385 5386 5430 5431 5444 5445 5466 7496 7741 7742 7783 7784
5466,sp|Q99879|H2B1M_HUMAN,Histone,H2B type 1-M OS=Homo sapiens GN=HIST1H2BM PE=1 SV=3,Regular,20727.1500,0.00,13989.2960,245,15,11,61.11,3141845,0,1163910,,,Green,5332 5362 5363 5384 5385 5386 5430 5431 5444 5445 7495 7496 7741 7742 7783 7784
5445,sp|Q5QNW6|H2B2F_HUMAN,Histone,H2B type 2-F OS=Homo sapiens GN=HIST2H2BF PE=1 SV=3,Regular,20727.1500,0.00,13920.1896,245,15,11,61.11,3141845,0,1163910,,,Green,5332 5362 5363 5384 5385 5386 5430 5431 5444 5466 7495 7496 7741 7742 7783 7784
5430,sp|O60814|H2B1K_HUMAN,Histone,H2B type 1-K OS=Homo sapiens GN=HIST1H2BK PE=1 SV=3,Regular,20727.1500,0.00,13890.1633,245,15,11,61.11,3141845,0,1163910,,,Green,5332 5362 5363 5384 5385 5386 5431 5444 5445 5466 7495 7496 7741 7742 7783 7784
5332,sp|P58876|H2B1D_HUMAN,Histone,H2B type 1-D OS=Homo sapiens GN=HIST1H2BD PE=1 SV=2,Regular,20727.1500,0.00,13936.1890,245,15,11,61.11,3141845,1317262,1163910,700.4403,9.7615,Green,5362 5363 5384 5385 5386 5430 5431 5444 5445 5466 7495 7496 7741 7742 7783 7784
5431,sp|P57053|H2BFS_HUMAN,Histone,H2B type F-S OS=Homo sapiens GN=H2BFS PE=1 SV=2,Regular,20651.8200,0.00,13944.2146,238,14,11,55.56,3134245,0,1162471,,,Green,5332 5362 5363 5384 5385 5386 5430 5444 5445 5466 7495 7496 7741 7742 7783 7784
9292,sp|P02545|LMNA_HUMAN,Prelamin-A/C,OS=Homo sapiens GN=LMNA PE=1 SV=1,Regular,20563.1200,0.00,74424.7180,874,64,73,68.52,5800102,814602,2354614,433.1561,32.2375,Green,9420 9484
15029,sp|P09651|ROA1_HUMAN,Heterogeneous,nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1 PE=1 SV=5,Regular,20503.2500,0.00,38860.7607,330,23,29,51.88,2358287,813263.8,1072968,432.4445,16.8051,Green,13355 14636 14648
5385,sp|Q99880|H2B1L_HUMAN,Histone,H2B type 1-L OS=Homo sapiens GN=HIST1H2BL PE=1 SV=3,Regular,20497.8900,0.00,13952.2317,230,14,11,55.56,3115418,0,1157547,,,Green,5332 5362 5363 5384 5386 5430 5431 5444 5445 5466 7495 7496 7741 7742 7783 7784
7641,sp|P11021|GRP78_HUMAN,78,kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2,Regular,17688.2300,0.00,72447.1105,678,48,52,59.48,3958821,667462,1748071,354.9160,25.7126,Green,7738 7942 7959 8057 8192
7496,sp|P23527|H2B1O_HUMAN,Histone,H2B type 1-O OS=Homo sapiens GN=HIST1H2BO PE=1 SV=3,Regular,17350.3500,0.00,13906.1627,204,14,11,60.32,2303511,0,853320,,,Green,5332 5362 5363 5384 5385 5386 5430 5431 5444 5445 5466 7495 7741 7742 7783 7784
5386,sp|Q16778|H2B2E_HUMAN,Histone,H2B type 2-E OS=Homo sapiens GN=HIST2H2BE PE=1 SV=3,Regular,17350.3500,0.00,13920.1896,204,14,11,60.32,2303511,0,853320,,,Green,5332 5362 5363 5384 5385 5430 5431 5444 5445 5466 7495 7496 7741 7742 7783 7784
5384,sp|P33778|H2B1B_HUMAN,Histone,H2B type 1-B OS=Homo sapiens GN=HIST1H2BB PE=1 SV=2,Regular,17350.3500,0.00,13950.2159,204,14,11,60.32,2303511,0,853320,,,Green,5332 5362 5363 5385 5386 5430 5431 5444 5445 5466 7495 7496 7741 7742 7783 7784
5363,sp|P06899|H2B1J_HUMAN,Histone,H2B type 1-J OS=Homo sapiens GN=HIST1H2BJ PE=1 SV=3,Regular,17350.3500,0.00,13904.1902,204,14,11,60.32,2303511,319169,853320,169.7148,2.3597,Green,5332 5362 5384 5385 5386 5430 5431 5444 5445 5466 7495 7496 7741 7742 7783 7784
24,sp|P68133|ACTS_HUMAN,Actin_,alpha skeletal muscle OS=Homo sapiens GN=ACTA1 PE=1 SV=1,Regular,16774.8900,0.00,42393.3153,426,24,34,40.58,5816947,743690.4,3349427,395.4496,16.7644,Green,23 436 437 457 472 523 853 13733 14098 14099 14126
436,sp|P68032|ACTC_HUMAN,Actin_,alpha cardiac muscle 1 OS=Homo sapiens GN=ACTC1 PE=1 SV=1,Regular,16725.4700,0.00,42361.2493,426,23,34,40.32,5815792,0,3348946,,,Green,23 24 437 457 472 523 853 13733 14098 14099 14126
7784,sp|Q8N257|H2B3B_HUMAN,Histone,H2B type 3-B OS=Homo sapiens GN=HIST3H2BB PE=1 SV=3,Regular,16721.5400,0.00,13908.1352,176,12,11,54.76,1426260,1022187,742751,543.5372,7.5596,Green,5332 5362 5363 5384 5385 5386 5430 5431 5444 5445 5466 7495 7496 7741 7742 7783
23,sp|P62736|ACTA_HUMAN,Actin_,aortic smooth muscle OS=Homo sapiens GN=ACTA2 PE=1 SV=1,Regular,16670.7100,0.00,42408.2561,422,23,34,42.44,5751139,854849.6,3336315,454.5573,19.2770,Green,24 436 437 457 472 523 853 13733 14098 14099 14126
437,sp|P63267|ACTH_HUMAN,Actin_,gamma-enteric smooth muscle OS=Homo sapiens GN=ACTG2 PE=1 SV=1,Regular,16658.3900,0.00,42276.1803,418,22,33,37.50,5749947,0,3335368,,,Green,23 24 436 457 472 523 853 13733 14098 14099 14126
7951,sp|P61978|HNRPK_HUMAN,Heterogeneous,nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1,Regular,16588.3200,0.00,51261.4781,323,24,38,52.70,1502884,443047,517323,235.5856,12.0765,Green,
7821,sp|P52272|HNRPM_HUMAN,Heterogeneous,nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=3,Regular,16410.7800,0.00,77801.0794,630,53,62,63.15,3271804,612865,1331427,325.8846,25.3542,Green,
14577,sp|P62829|RL23_HUMAN,60S,ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1,Regular,16163.6500,0.00,14979.5303,125,9,13,66.43,720348,479551,158569,254.9962,3.8197,Green,
1402,sp|P25705|ATPA_HUMAN,ATP,synthase subunit alpha_ mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1,Regular,15981.7700,0.00,59864.7823,528,36,46,58.77,3617940,820057,1790138,436.0567,26.1044,Green,
15109,sp|P63220|RS21_HUMAN,40S,ribosomal protein S21 OS=Homo sapiens GN=RPS21 PE=1 SV=1,Regular,15549.4500,0.00,9225.4526,79,8,9,61.45,235412,128749,86190,68.4609,0.6316,Green,
12153,sp|P06748|NPM_HUMAN,Nucleophosmin,OS=Homo sapiens GN=NPM1 PE=1 SV=2,Regular,15528.8400,0.00,32746.1672,313,21,22,50.00,2844761,1081179,1079327,574.9056,18.8260,Green,
13831,sp|P35232|PHB_HUMAN,Prohibitin,OS=Homo sapiens GN=PHB PE=1 SV=1,Regular,15485.3200,0.00,29861.1489,275,18,21,61.76,1731859,509949,747373,271.1601,8.0972,Green,16899
14193,sp|P23284|PPIB_HUMAN,Peptidyl-prolyl,cis-trans isomerase B OS=Homo sapiens GN=PPIB PE=1 SV=2,Regular,15447.6100,0.00,23799.6054,263,18,21,63.89,1492357,511912,490841,272.2039,6.4783,Green,
7494,sp|Q16777|H2A2C_HUMAN,Histone,H2A type 2-C OS=Homo sapiens GN=HIST2H2AC PE=1 SV=4,Regular,15425.1600,0.00,13988.3928,133,6,7,33.33,2041123,0,666456,,,Green,5312 5328 5329 5330 5331 5358 5359 5361 5381 5382 5419 5420 7493 7527
5420,sp|Q9BTM1|H2AJ_HUMAN,Histone,H2A.J OS=Homo sapiens GN=H2AFJ PE=1 SV=1,Regular,15425.1600,0.00,14019.4234,133,6,7,33.33,2041123,0,666456,,,Green,5312 5328 5329 5330 5331 5358 5359 5361 5381 5382 5419 7493 7494 7527
5419,sp|P04908|H2A1B_HUMAN,Histone,H2A type 1-B/E OS=Homo sapiens GN=HIST1H2AB PE=1 SV=2,Regular,15425.1600,0.00,14135.5084,168,8,7,36.15,2319130,0,865286,,,Green,5312 5328 5329 5330 5331 5358 5359 5361 5381 5382 5420 7493 7494 7527
5381,sp|Q93077|H2A1C_HUMAN,Histone,H2A type 1-C OS=Homo sapiens GN=HIST1H2AC PE=1 SV=3,Regular,15425.1600,0.00,14105.4821,168,8,7,36.15,2319130,0,865286,,,Green,5312 5328 5329 5330 5331 5358 5359 5361 5382 5419 5420 7493 7494 7527
5358,sp|Q99878|H2A1J_HUMAN,Histone,H2A type 1-J OS=Homo sapiens GN=HIST1H2AJ PE=1 SV=3,Regular,15425.1600,0.00,13936.2957,133,6,7,33.59,2041123,0,666456,,,Green,5312 5328 5329 5330 5331 5359 5361 5381 5382 5419 5420 7493 7494 7527
5331,sp|Q6FI13|H2A2A_HUMAN,Histone,H2A type 2-A OS=Homo sapiens GN=HIST2H2AA3 PE=1 SV=3,Regular,15425.1600,0.00,14095.5078,133,6,7,33.08,2041123,0,666456,,,Green,5312 5328 5329 5330 5358 5359 5361 5381 5382 5419 5420 7493 7494 7527
5330,sp|P0C0S8|H2A1_HUMAN,Histone,H2A type 1 OS=Homo sapiens GN=HIST1H2AG PE=1 SV=2,Regular,15425.1600,0.00,14091.4956,133,6,7,33.08,2041123,0,666456,,,Green,5312 5328 5329 5331 5358 5359 5361 5381 5382 5419 5420 7493 7494 7527
5329,sp|Q96KK5|H2A1H_HUMAN,Histone,H2A type 1-H OS=Homo sapiens GN=HIST1H2AH PE=1 SV=3,Regular,15425.1600,0.00,13906.2694,133,6,7,33.59,2041123,0,666456,,,Green,5312 5328 5330 5331 5358 5359 5361 5381 5382 5419 5420 7493 7494 7527
5328,sp|P20671|H2A1D_HUMAN,Histone,H2A type 1-D OS=Homo sapiens GN=HIST1H2AD PE=1 SV=2,Regular,15425.1600,0.00,14107.4950,133,6,7,33.08,2041123,0,666456,,,Green,5312 5329 5330 5331 5358 5359 5361 5381 5382 5419 5420 7493 7494 7527
5312,sp|Q7L7L0|H2A3_HUMAN,Histone,H2A type 3 OS=Homo sapiens GN=HIST3H2A PE=1 SV=3,Regular,15425.1600,0.00,14121.4815,168,8,7,36.15,2319130,1069036,865286,568.4487,8.0273,Green,5328 5329 5330 5331 5358 5359 5361 5381 5382 5419 5420 7493 7494 7527
15104,sp|P62857|RS28_HUMAN,40S,ribosomal protein S28 OS=Homo sapiens GN=RPS28 PE=1 SV=1,Regular,15407.3000,0.00,7898.0695,87,7,6,56.52,341816,291543,181658,155.0249,1.2244,Green,
16510,sp|Q04837|SSBP_HUMAN,Single-stranded,DNA-binding protein_ mitochondrial OS=Homo sapiens GN=SSBP1 PE=1 SV=1,Regular,14628.6400,0.00,17259.6938,106,12,14,68.92,350198,195132,123675,103.7594,1.7909,Green,
15088,sp|P62269|RS18_HUMAN,40S,ribosomal protein S18 OS=Homo sapiens GN=RPS18 PE=1 SV=3,Regular,14447.8700,0.00,17718.6965,163,14,16,57.89,944561,397851,433020,211.5531,3.7484,Green,7142
14287,sp|Q9UDW1|QCR9_HUMAN,Cytochrome,b-c1 complex subunit 9 OS=Homo sapiens GN=UQCR10 PE=1 SV=3,Regular,14294.2300,0.00,7308.5067,33,2,6,38.10,99664,130932,29403,69.6217,0.5088,Green,
12264,sp|P19338|NUCL_HUMAN,Nucleolin,OS=Homo sapiens GN=NCL PE=1 SV=3,Regular,13712.8200,0.00,76671.5108,618,42,59,41.97,4261483,737053,1671906,391.9202,30.0491,Green,15857
14698,sp|P05387|RLA2_HUMAN,60S,acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1,Regular,13111.0300,0.00,11664.9535,120,6,9,77.39,949926,675485,365635,359.1821,4.1898,Green,
15882,sp|Q9GZT3|SLIRP_HUMAN,SRA,stem-loop-interacting RNA-binding protein_ mitochondrial OS=Homo sapiens GN=SLIRP PE=1 SV=1,Regular,13065.6300,0.00,12406.0550,91,6,15,55.05,390430,320734,120211,170.5470,2.1158,Green,
15078,sp|P61247|RS3A_HUMAN,40S,ribosomal protein S3a OS=Homo sapiens GN=RPS3A PE=1 SV=2,Regular,13029.5600,0.00,30173.1000,259,24,28,65.15,1040085,374991,268724,199.3976,6.0164,Green,
6006,sp|P84090|ERH_HUMAN,Enhancer,of rudimentary homolog OS=Homo sapiens GN=ERH PE=1 SV=1,Regular,12941.6900,0.00,12430.0478,71,8,12,46.15,472872,285424,123715,151.7712,1.8865,Green,
1243,sp|O75947|ATP5H_HUMAN,ATP,synthase subunit d_ mitochondrial OS=Homo sapiens GN=ATP5H PE=1 SV=3,Regular,12647.6500,0.00,18548.2695,90,9,13,62.73,367894,257274,109308,136.8028,2.5375,Green,
15368,sp|P62241|RS8_HUMAN,40S,ribosomal protein S8 OS=Homo sapiens GN=RPS8 PE=1 SV=2,Regular,12372.1900,0.00,24490.3418,118,8,16,40.87,784317,532498,274899,283.1502,6.9344,Green,
13355,sp|Q32P51|RA1L2_HUMAN,Heterogeneous,nuclear ribonucleoprotein A1-like 2 OS=Homo sapiens GN=HNRNPA1L2 PE=2 SV=2,Regular,12234.8900,0.00,34396.4687,238,18,27,37.81,1675184,2789.168,592945,1.4831,0.0510,Green,14636 14648 15029
14636,sp|P51991|ROA3_HUMAN,Heterogeneous,nuclear ribonucleoprotein A3 OS=Homo sapiens GN=HNRNPA3 PE=1 SV=2,Regular,12110.6600,0.00,39823.1123,245,22,32,39.15,1231479,577313,330652,306.9802,12.2249,Green,13355 15029
15108,sp|P39019|RS19_HUMAN,40S,ribosomal protein S19 OS=Homo sapiens GN=RPS19 PE=1 SV=2,Regular,11967.6500,0.00,16060.5312,191,17,17,66.21,696740,281906,228493,149.9006,2.4075,Green,
14575,sp|P30050|RL12_HUMAN,60S,ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1,Regular,11897.3900,0.00,17989.6921,79,6,15,53.94,262176,195648,82626,104.0338,1.8715,Green,
795,sp|P05141|ADT2_HUMAN,ADP/ATP,translocase 2 OS=Homo sapiens GN=SLC25A5 PE=1 SV=7,Regular,11793.2300,0.00,33080.4023,215,15,31,45.30,1394720,434725.4,541421,231.1607,7.6469,Green,464 709 867
15097,sp|P23396|RS3_HUMAN,40S,ribosomal protein S3 OS=Homo sapiens GN=RPS3 PE=1 SV=2,Regular,11751.6400,0.00,26859.4452,212,19,26,74.90,962855,289626,309219,154.0056,4.1365,Green,
14567,sp|P26373|RL13_HUMAN,60S,ribosomal protein L13 OS=Homo sapiens GN=RPL13 PE=1 SV=4,Regular,11678.9200,0.00,24318.5392,176,16,18,54.50,1055576,362718,373503,192.8715,4.6904,Green,
15537,sp|P06702|S10A9_HUMAN,Protein,S100-A9 OS=Homo sapiens GN=S100A9 PE=1 SV=1,Regular,11559.7600,0.00,13299.0610,103,8,10,52.63,353845,217405,94934,115.6028,1.5374,Green,
12913,sp|Q99623|PHB2_HUMAN,Prohibitin-2,OS=Homo sapiens GN=PHB2 PE=1 SV=2,Regular,11426.0600,0.00,33296.4295,279,25,29,68.90,1423359,469545,634171,249.6756,8.3133,Green,
14602,sp|P18124|RL7_HUMAN,60S,ribosomal protein L7 OS=Homo sapiens GN=RPL7 PE=1 SV=1,Regular,11320.0600,0.00,29282.8709,220,19,20,52.82,1257713,499773,402527,265.7491,7.7819,Green,18294
10081,sp|P40926|MDHM_HUMAN,Malate,dehydrogenase_ mitochondrial OS=Homo sapiens GN=MDH2 PE=1 SV=3,Regular,11210.8100,0.00,35959.5534,259,21,28,67.46,1582311,685996,474111,364.7712,13.1170,Green,
5310,sp|P16403|H12_HUMAN,Histone,H1.2 OS=Homo sapiens GN=HIST1H1C PE=1 SV=2,Regular,10918.5200,0.00,21364.7689,235,11,20,32.86,2689162,837672.7,1073973,445.4237,9.5164,Green,5309 5311 5429 7491 7526
422,sp|Q9NUJ1|ABHDA_HUMAN,Mycophenolic,acid acyl-glucuronide esterase_ mitochondrial OS=Homo sapiens GN=ABHD10 PE=1 SV=1,Regular,10682.6200,0.00,34274.7384,125,13,23,46.08,337886,184524,76419,98.1187,3.3630,Green,
5383,sp|O75367|H2AY_HUMAN,Core,histone macro-H2A.1 OS=Homo sapiens GN=H2AFY PE=1 SV=4,Regular,10667.4300,0.00,39788.1869,128,10,27,37.90,401720,184298,113455,97.9985,3.8992,Green,7678
14697,sp|P05388|RLA0_HUMAN,60S,acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1,Regular,10594.2600,0.00,34444.6557,214,14,20,45.43,718371,335903,194985,178.6129,6.1523,Green,14623
15169,sp|P08865|RSSA_HUMAN,40S,ribosomal protein SA OS=Homo sapiens GN=RPSA PE=1 SV=4,Regular,10478.4200,0.00,32968.1859,136,13,25,43.39,725862,388530,291475,206.5968,6.8111,Green,
17897,sp|Q86V81|THOC4_HUMAN,THO,complex subunit 4 OS=Homo sapiens GN=ALYREF PE=1 SV=3,Regular,10373.0300,0.00,26887.9489,132,12,18,49.81,648224,461916,248445,245.6190,6.6042,Green,
15596,sp|P62304|RUXE_HUMAN,Small,nuclear ribonucleoprotein E OS=Homo sapiens GN=SNRPE PE=1 SV=1,Regular,10059.1400,0.00,10860.6639,51,5,4,44.57,210501,273082.5,66410,145.2088,1.5771,Green,
15064,sp|P62851|RS25_HUMAN,40S,ribosomal protein S25 OS=Homo sapiens GN=RPS25 PE=1 SV=1,Regular,10004.4900,0.00,13799.1706,105,6,9,38.40,699963,373948,229689,198.8429,2.7439,Green,
7820,sp|P07910|HNRPC_HUMAN,Heterogeneous,nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC PE=1 SV=4,Regular,9969.6680,0.00,33727.0878,278,19,34,50.00,2067214,658897,800920,350.3616,11.8167,Green,7817 7868 7917 7950 13649
15102,sp|P62979|RS27A_HUMAN,Ubiquitin-40S,ribosomal protein S27a OS=Homo sapiens GN=RPS27A PE=1 SV=2,Regular,9943.5820,0.00,18307.1035,93,10,10,47.44,757273,447971,190550,238.2039,4.3608,Green,14614 18680 18773
18773,sp|P0CG48|UBC_HUMAN,Polyubiquitin-C,OS=Homo sapiens GN=UBC PE=1 SV=3,Regular,9808.5940,0.00,77038.7061,81,8,62,8.61,732971,0,186127,,,Green,14614 15102 18680
18680,sp|P0CG47|UBB_HUMAN,Polyubiquitin-B,OS=Homo sapiens GN=UBB PE=1 SV=1,Regular,9808.5940,0.00,25818.7010,81,8,20,25.76,732971,0,186127,,,Green,14614 15102 18773
14614,sp|P62987|RL40_HUMAN,Ubiquitin-60S,ribosomal protein L40 OS=Homo sapiens GN=UBA52 PE=1 SV=2,Regular,9808.5940,0.00,15013.4720,81,8,9,46.09,732971,0,186127,,,Green,15102 18680 18773
7491,sp|P16402|H13_HUMAN,Histone,H1.3 OS=Homo sapiens GN=HIST1H1D PE=1 SV=2,Regular,9800.0170,0.00,22349.9210,220,10,21,24.43,2633877,0,1050747,,,Green,5309 5310 5311 5429 7526
5311,sp|P10412|H14_HUMAN,Histone,H1.4 OS=Homo sapiens GN=HIST1H1E PE=1 SV=2,Regular,9800.0170,0.00,21865.2868,220,10,19,24.66,2633877,0,1050747,,,Green,5309 5310 5429 7491 7526
16508,sp|P84103|SRSF3_HUMAN,Serine/arginine-rich,splicing factor 3 OS=Homo sapiens GN=SRSF3 PE=1 SV=1,Regular,9694.4530,0.00,19557.7197,139,12,14,48.78,749094,360074,336512,191.4656,3.7446,Green,16509
15095,sp|P62249|RS16_HUMAN,40S,ribosomal protein S16 OS=Homo sapiens GN=RPS16 PE=1 SV=2,Regular,9619.0620,0.00,16559.3911,135,12,18,60.27,614111,308025,187752,163.7891,2.7122,Green,
13473,sp|P61019|RAB2A_HUMAN,Ras-related,protein Rab-2A OS=Homo sapiens GN=RAB2A PE=1 SV=1,Regular,9544.5030,0.00,23716.6734,115,13,23,61.79,221142,137148.2,55828,72.9271,1.7296,Green,13439
15834,sp|P23246|SFPQ_HUMAN,Splicing,factor_ proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2,Regular,9535.4970,0.00,76263.6026,381,34,47,36.63,1629491,487344,593930,259.1401,19.7630,Green,11968 14314
13387,sp|P62820|RAB1A_HUMAN,Ras-related,protein Rab-1A OS=Homo sapiens GN=RAB1A PE=1 SV=3,Regular,9524.8670,0.00,22905.8995,145,12,19,61.46,594689,79873.08,215784,42.4717,0.9729,Green,13228 13230 13231 13252 13263 13323 13325 13329 13385 13386 13388 13389 13475 13476 13477 13479 13508 14275 14276 14277
14585,sp|P61353|RL27_HUMAN,60S,ribosomal protein L27 OS=Homo sapiens GN=RPL27 PE=1 SV=2,Regular,9493.2910,0.00,15797.7534,119,10,9,56.62,626358,325787,197821,173.2338,2.7367,Green,
4621,sp|P17844|DDX5_HUMAN,Probable,ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1,Regular,9459.6570,0.00,69661.4497,396,39,59,49.35,2253784,438991,855251,233.4289,16.2610,Green,4190 4358 4554
12577,sp|P32322|P5CR1_HUMAN,Pyrroline-5-carboxylate,reductase 1_ mitochondrial OS=Homo sapiens GN=PYCR1 PE=1 SV=2,Regular,9438.6080,0.00,33588.8047,151,11,25,41.69,475492,213954,114864,113.7678,3.8213,Green,10588
5114,sp|P49411|EFTU_HUMAN,Elongation,factor Tu_ mitochondrial OS=Homo sapiens GN=TUFM PE=1 SV=2,Regular,9412.5710,0.00,49883.7950,276,26,41,57.52,1532653,522024,427259,277.5808,13.8468,Green,
12692,sp|P11177|ODPB_HUMAN,Pyruvate,dehydrogenase E1 component subunit beta_ mitochondrial OS=Homo sapiens GN=PDHB PE=1 SV=3,Regular,9353.1530,0.00,39575.6563,144,12,32,36.21,401816,148472,104867,78.9484,3.1244,Green,
14583,sp|P84098|RL19_HUMAN,60S,ribosomal protein L19 OS=Homo sapiens GN=RPL19 PE=1 SV=1,Regular,9343.6330,0.00,23580.0849,88,9,11,30.10,541561,407004,183985,216.4201,5.1032,Green,
